id,symbol,dir,entry_time,entry,sl,tp,sweep_ratio,n_opp,status,exit_time,exit_price,R
,HYPEUSDT,-1,2026-09-20 20:04:00,93.26,93.357,93.0175,0.3242811501597363,2,WIN,2026-09-20 20:09:00,93.0175,2.5
,POLUSDT,-1,2026-09-20 23:05:00,0.10726,0.1074499999999999,0.1067849999999999,0.2906808305166586,2,LOSS,2026-09-20 23:06:00,0.1074499999999999,-1.0
,LITUSDT,-1,2026-09-21 10:05:00,5.028,5.04195,4.993124999999999,0.4851063829787265,3,LOSS,2026-09-21 10:15:00,5.04195,-1.0
,XRPUSDT,-1,2026-09-21 15:04:00,1.5006,1.504445,1.4909875,0.3963963963963928,3,LOSS,2026-09-21 15:08:00,1.504445,-1.0
,ENAUSDT,-1,2026-09-21 14:04:00,0.22331,0.2242235,0.22102625,0.6168910648714839,2,WIN,2026-09-21 14:05:00,0.22102625,2.5
,SHIB1000USDT,-1,2026-09-22 00:04:00,0.006039,0.0060505,0.00601025,0.3579072532699137,2,WIN,2026-09-22 00:11:00,0.00601025,2.5
,ENAUSDT,-1,2026-09-22 01:03:00,0.2115,0.2124185,0.20920375,0.37948838300868,2,LOSS,2026-09-22 01:06:00,0.2124185,-1.0
,ENAUSDT,1,2026-09-22 11:04:00,0.20827,0.207811,0.2094175,0.6434957813877326,2,LOSS,2026-09-22 11:05:00,0.207811,-1.0
,POLUSDT,1,2026-09-22 11:03:00,0.10807,0.1079815,0.10829125,0.4281345565749259,2,LOSS,2026-09-22 11:04:00,0.1079815,-1.0
,ASTERUSDT,1,2026-09-23 09:07:00,0.7243,0.7228100000000001,0.7280250000000001,0.7896857373086221,2,OPEN,,,
